itemId,moduleId,status,fieldsChanged,shortReason
daily_life_001,daily_life,PASS,,PASS
daily_life_002,daily_life,PASS,,PASS
daily_life_003,daily_life,PASS,,PASS
daily_life_004,daily_life,FIXED,variants,语法修正
daily_life_005,daily_life,PASS,,PASS
daily_life_006,daily_life,PASS,,PASS
daily_life_007,daily_life,PASS,,PASS
daily_life_008,daily_life,PASS,,PASS
daily_life_009,daily_life,PASS,,PASS
daily_life_010,daily_life,PASS,,PASS
daily_life_011,daily_life,PASS,,PASS
daily_life_013,daily_life,PASS,,PASS
daily_life_015,daily_life,PASS,,PASS
daily_life_016,daily_life,PASS,,PASS
daily_life_017,daily_life,PASS,,PASS
daily_life_018,daily_life,PASS,,PASS
daily_life_019,daily_life,PASS,,PASS
daily_life_020,daily_life,PASS,,PASS
daily_life_021,daily_life,PASS,,PASS
daily_life_022,daily_life,PASS,,PASS
daily_life_023,daily_life,PASS,,PASS
daily_life_024,daily_life,PASS,,PASS
daily_life_025,daily_life,PASS,,PASS
daily_life_026,daily_life,PASS,,PASS
daily_life_027,daily_life,PASS,,PASS
daily_life_028,daily_life,PASS,,PASS
daily_life_029,daily_life,PASS,,PASS
daily_life_030,daily_life,PASS,,PASS
daily_life_031,daily_life,PASS,,PASS
daily_life_033,daily_life,PASS,,PASS
daily_life_034,daily_life,PASS,,PASS
daily_life_035,daily_life,PASS,,PASS
daily_life_036,daily_life,PASS,,PASS
daily_life_037,daily_life,PASS,,PASS
daily_life_038,daily_life,PASS,,PASS
daily_life_039,daily_life,PASS,,PASS
daily_life_040,daily_life,PASS,,PASS
daily_life_041,daily_life,PASS,,PASS
daily_life_042,daily_life,PASS,,PASS
daily_life_043,daily_life,PASS,,PASS
daily_life_044,daily_life,PASS,,PASS
daily_life_045,daily_life,PASS,,PASS
daily_life_046,daily_life,PASS,,PASS
daily_life_047,daily_life,PASS,,PASS
daily_life_048,daily_life,PASS,,PASS
daily_life_049,daily_life,PASS,,PASS
daily_life_050,daily_life,PASS,,PASS
daily_life_051,daily_life,PASS,,PASS
daily_life_052,daily_life,PASS,,PASS
daily_life_053,daily_life,PASS,,PASS
daily_life_054,daily_life,PASS,,PASS
daily_life_055,daily_life,PASS,,PASS
daily_life_056,daily_life,PASS,,PASS
daily_life_058,daily_life,PASS,,PASS
daily_life_059,daily_life,PASS,,PASS
daily_life_060,daily_life,PASS,,PASS
emergency_safety_002,emergency_safety,PASS,,PASS
emergency_safety_004,emergency_safety,PASS,,PASS
emergency_safety_018,emergency_safety,PASS,,PASS
emergency_safety_020,emergency_safety,PASS,,PASS
emergency_safety_022,emergency_safety,PASS,,PASS
emergency_safety_023,emergency_safety,PASS,,PASS
emergency_safety_024,emergency_safety,PASS,,PASS
emergency_safety_025,emergency_safety,PASS,,PASS
emergency_safety_027,emergency_safety,PASS,,PASS
emergency_safety_029,emergency_safety,PASS,,PASS
emergency_safety_030,emergency_safety,PASS,,PASS
emergency_safety_031,emergency_safety,PASS,,PASS
emergency_safety_033,emergency_safety,PASS,,PASS
emergency_safety_036,emergency_safety,PASS,,PASS
emergency_safety_038,emergency_safety,PASS,,PASS
emergency_safety_048,emergency_safety,PASS,,PASS
emergency_safety_049,emergency_safety,PASS,,PASS
emergency_safety_050,emergency_safety,PASS,,PASS
delivery_complaints_001,delivery_complaints,PASS,,PASS
delivery_complaints_002,delivery_complaints,PASS,,PASS
delivery_complaints_003,delivery_complaints,PASS,,PASS
delivery_complaints_004,delivery_complaints,PASS,,PASS
delivery_complaints_005,delivery_complaints,PASS,,PASS
delivery_complaints_006,delivery_complaints,PASS,,PASS
delivery_complaints_008,delivery_complaints,PASS,,PASS
delivery_complaints_010,delivery_complaints,PASS,,PASS
delivery_complaints_011,delivery_complaints,PASS,,PASS
delivery_complaints_013,delivery_complaints,PASS,,PASS
delivery_complaints_017,delivery_complaints,PASS,,PASS
delivery_complaints_018,delivery_complaints,PASS,,PASS
delivery_complaints_019,delivery_complaints,PASS,,PASS
delivery_complaints_023,delivery_complaints,PASS,,PASS
delivery_complaints_028,delivery_complaints,PASS,,PASS
delivery_complaints_029,delivery_complaints,PASS,,PASS
delivery_complaints_030,delivery_complaints,PASS,,PASS
delivery_complaints_031,delivery_complaints,PASS,,PASS
delivery_complaints_039,delivery_complaints,PASS,,PASS
delivery_complaints_041,delivery_complaints,PASS,,PASS
delivery_complaints_046,delivery_complaints,PASS,,PASS
delivery_complaints_048,delivery_complaints,PASS,,PASS
delivery_complaints_055,delivery_complaints,PASS,,PASS
delivery_complaints_058,delivery_complaints,PASS,,PASS
front_counter_001,front_counter,PASS,,PASS
front_counter_004,front_counter,PASS,,PASS
front_counter_005,front_counter,PASS,,PASS
front_counter_007,front_counter,PASS,,PASS
front_counter_008,front_counter,PASS,,PASS
front_counter_011,front_counter,PASS,,PASS
front_counter_012,front_counter,PASS,,PASS
front_counter_016,front_counter,PASS,,PASS
front_counter_017,front_counter,PASS,,PASS
front_counter_018,front_counter,PASS,,PASS
front_counter_023,front_counter,PASS,,PASS
front_counter_025,front_counter,PASS,,PASS
front_counter_031,front_counter,PASS,,PASS
front_counter_033,front_counter,PASS,,PASS
front_counter_034,front_counter,PASS,,PASS
front_counter_035,front_counter,PASS,,PASS
front_counter_039,front_counter,PASS,,PASS
front_counter_043,front_counter,PASS,,PASS
front_counter_048,front_counter,PASS,,PASS
front_counter_054,front_counter,PASS,,PASS
front_counter_058,front_counter,PASS,,PASS
front_counter_059,front_counter,PASS,,PASS
front_counter_064,front_counter,PASS,,PASS
front_counter_066,front_counter,PASS,,PASS
front_counter_067,front_counter,PASS,,PASS
front_counter_068,front_counter,PASS,,PASS
front_counter_069,front_counter,PASS,,PASS
front_counter_070,front_counter,PASS,,PASS
front_counter_079,front_counter,PASS,,PASS
front_counter_091,front_counter,PASS,,PASS
front_counter_092,front_counter,PASS,,PASS
front_counter_093,front_counter,PASS,,PASS
front_counter_094,front_counter,PASS,,PASS
front_counter_095,front_counter,PASS,,PASS
front_counter_097,front_counter,PASS,,PASS
front_counter_098,front_counter,PASS,,PASS
front_counter_099,front_counter,PASS,,PASS
front_counter_100,front_counter,PASS,,PASS
communication_001,communication,PASS,,PASS
communication_002,communication,PASS,,PASS
communication_004,communication,PASS,,PASS
communication_005,communication,PASS,,PASS
communication_006,communication,PASS,,PASS
communication_011,communication,PASS,,PASS
communication_014,communication,PASS,,PASS
communication_016,communication,PASS,,PASS
communication_017,communication,PASS,,PASS
communication_018,communication,PASS,,PASS
communication_023,communication,PASS,,PASS
communication_024,communication,PASS,,PASS
communication_026,communication,PASS,,PASS
communication_033,communication,PASS,,PASS
communication_035,communication,PASS,,PASS
communication_042,communication,PASS,,PASS
communication_044,communication,PASS,,PASS
communication_047,communication,PASS,,PASS
communication_048,communication,PASS,,PASS
communication_049,communication,PASS,,PASS
shift_pay_001,shift_pay,PASS,,PASS
shift_pay_003,shift_pay,PASS,,PASS
shift_pay_005,shift_pay,PASS,,PASS
shift_pay_006,shift_pay,PASS,,PASS
shift_pay_007,shift_pay,PASS,,PASS
shift_pay_009,shift_pay,PASS,,PASS
shift_pay_010,shift_pay,PASS,,PASS
shift_pay_012,shift_pay,PASS,,PASS
shift_pay_013,shift_pay,PASS,,PASS
shift_pay_014,shift_pay,PASS,,PASS
shift_pay_017,shift_pay,PASS,,PASS
shift_pay_029,shift_pay,PASS,,PASS
shift_pay_030,shift_pay,PASS,,PASS
shift_pay_034,shift_pay,PASS,,PASS
shift_pay_039,shift_pay,PASS,,PASS
food_safety_001,food_safety,PASS,,PASS
food_safety_003,food_safety,PASS,,PASS
food_safety_005,food_safety,PASS,,PASS
food_safety_006,food_safety,PASS,,PASS
food_safety_007,food_safety,PASS,,PASS
food_safety_008,food_safety,PASS,,PASS
food_safety_009,food_safety,PASS,,PASS
food_safety_011,food_safety,PASS,,PASS
food_safety_013,food_safety,PASS,,PASS
food_safety_014,food_safety,PASS,,PASS
food_safety_016,food_safety,PASS,,PASS
food_safety_017,food_safety,PASS,,PASS
food_safety_018,food_safety,PASS,,PASS
food_safety_019,food_safety,PASS,,PASS
food_safety_020,food_safety,PASS,,PASS
food_safety_021,food_safety,PASS,,PASS
food_safety_022,food_safety,PASS,,PASS
food_safety_024,food_safety,PASS,,PASS
food_safety_026,food_safety,PASS,,PASS
food_safety_027,food_safety,PASS,,PASS
food_safety_028,food_safety,PASS,,PASS
food_safety_031,food_safety,PASS,,PASS
food_safety_033,food_safety,PASS,,PASS
food_safety_036,food_safety,PASS,,PASS
food_safety_038,food_safety,PASS,,PASS
food_safety_039,food_safety,PASS,,PASS
food_safety_040,food_safety,PASS,,PASS
food_safety_047,food_safety,PASS,,PASS
food_safety_048,food_safety,PASS,,PASS
food_safety_050,food_safety,PASS,,PASS
kitchen_cleaning_011,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_013,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_022,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_023,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_025,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_026,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_027,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_029,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_030,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_043,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_047,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_048,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_049,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_054,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_058,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_063,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_064,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_065,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_066,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_069,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_070,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_071,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_081,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_084,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_085,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_098,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_099,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_100,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_101,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_102,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_103,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_104,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_105,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_106,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_107,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_109,kitchen_cleaning,PASS,,PASS
kitchen_cleaning_110,kitchen_cleaning,PASS,,PASS
